,Unnamed: 0,id,createdtime,username,tweets
188,302,1.40699e+18,15-06-2021 15:00,YahooSmBusiness,even small business owners can make choices and take action to help avoid climate change disaster  learn more
189,303,1.40697e+18,15-06-2021 13:36,DominoTristan,no cakes for me    aint going to that superspreader event
190,304,1.40696e+18,15-06-2021 13:10,S513_com,zbuzzz entertainment of things  join us on facebook for pure entertainment of things please retweet fbpbg
191,305,1.40695e+18,15-06-2021 12:02,francvs,mobile shuts down after year of launch  users must switch to
192,307,1.40694e+18,15-06-2021 11:48,diglu_music,if you like it
193,308,1.40694e+18,15-06-2021 11:40,BigBull1029,the entire crypto market had lost    of its value over the last hours  according to data provider coinmarketcap
194,309,1.40694e+18,15-06-2021 11:39,BigBull1029,two weeks back  data on consumer prices in may showed the consumer price index jumped by   over the prior year  the biggest jump since   this past week  data on producer prices showed    jump over last year in may  the biggest increase since
195,310,1.40694e+18,15-06-2021 11:38,guext65,amethyst and smoky quartz tibetan silver ring
196,311,1.40694e+18,15-06-2021 11:30,BigBull1029,no sector within the benchmark index cited inflation more often than consumer staples  where   of members discussed price pressures during their calls
197,312,1.40692e+18,15-06-2021 10:20,JWonEtsy,buddha tibetan silver chain necklace
198,313,1.40691e+18,15-06-2021 09:48,life_mystery,people taking control of their lives  amp  knowing what they want to fulfill their financial needs
199,314,1.40691e+18,15-06-2021 09:33,KingOnScene,an and in making his way to with new   new and plans looking to and potentially with
200,315,1.40691e+18,15-06-2021 09:25,LKPSECURITIES,fpis invest rs   cr in indian mkts in june so far     ranganathan
201,316,1.40687e+18,15-06-2021 06:58,SridharRaytrace,good news coming soon
202,317,1.40687e+18,15-06-2021 06:52,StudyVisaAbroad,happy international yoga daystudy visa consultants in jalandhar visible on
203,318,1.40686e+18,15-06-2021 06:12,upstractcom,jon rahm wins us open at torrey pines on his first father  day
204,319,1.40685e+18,15-06-2021 05:48,threader_app,hey ankush  your thread is compiled now  you can read it here
205,320,1.40685e+18,15-06-2021 05:35,guext65,flower thread bronze ring
206,321,1.40684e+18,15-06-2021 05:05,shd_horie,our release project uses the latest technologies such as ai  blockchain and big data to radically change the logistics of agr
207,322,1.40683e+18,15-06-2021 04:30,webseoanalytics,tip optimize each page for or keywords add them in title    mind the keyword density
208,323,1.40683e+18,15-06-2021 04:22,upstractcom,american airlines canceling hundreds of flights through mid july in part due to labor shortages
209,324,1.40682e+18,15-06-2021 03:32,TechMahour,yahoo mobile shutdown after year of launch  users switch on visible
210,325,1.4068e+18,15-06-2021 02:04,doyourememberwh,costume rhinestone guitar brooch pin
211,326,1.40678e+18,15-06-2021 01:04,doyourememberwh,vintage stuffed inch neiman marcus snowman with bag stocking stuffer
212,327,1.40677e+18,15-06-2021 00:07,ibad700,gulf  all starting with going to today
